"","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","previous"
"1",30,"unemployed","married","primary","no",1787,"no","no","cellular",19,"oct",79,1,0
"2",33,"services","married","secondary","no",4789,"yes","yes","cellular",11,"may",220,1,4
"3",35,"management","single","tertiary","no",1350,"yes","no","cellular",16,"apr",185,1,1
"4",30,"management","married","tertiary","no",1476,"yes","yes","unknown",3,"jun",199,4,0
"5",59,"blue-collar","married","secondary","no",0,"yes","no","unknown",5,"may",226,1,0
"6",35,"management","single","tertiary","no",747,"no","no","cellular",23,"feb",141,2,3
"7",36,"self-employed","married","tertiary","no",307,"yes","no","cellular",14,"may",341,1,2
"8",39,"technician","married","secondary","no",147,"yes","no","cellular",6,"may",151,2,0
"9",41,"entrepreneur","married","tertiary","no",221,"yes","no","unknown",14,"may",57,2,0
"10",43,"services","married","primary","no",-88,"yes","yes","cellular",17,"apr",313,1,2
"11",39,"services","married","secondary","no",9374,"yes","no","unknown",20,"may",273,1,0
"12",43,"admin.","married","secondary","no",264,"yes","no","cellular",17,"apr",113,2,0
"13",36,"technician","married","tertiary","no",1109,"no","no","cellular",13,"aug",328,2,0
"14",20,"student","single","secondary","yes",502,"no","no","cellular",30,"apr",261,1,0
"15",31,"blue-collar","married","secondary","no",360,"yes","yes","cellular",29,"jan",89,1,1
"16",40,"management","married","tertiary","no",194,"no","yes","cellular",29,"aug",189,2,0
"17",56,"technician","married","secondary","no",4073,"no","no","cellular",27,"aug",239,5,0
"18",37,"admin.","single","tertiary","no",2317,"yes","no","cellular",20,"apr",114,1,2
"19",25,"blue-collar","single","primary","no",-221,"yes","no","unknown",23,"may",250,1,0
"20",31,"services","married","secondary","no",132,"no","no","cellular",7,"jul",148,1,1
"21",38,"management","divorced","unknown","no",0,"yes","no","cellular",18,"nov",96,2,0
"22",42,"management","divorced","tertiary","no",16,"no","no","cellular",19,"nov",140,3,0
"23",44,"services","single","secondary","no",106,"no","no","unknown",12,"jun",109,2,0
"24",44,"entrepreneur","married","secondary","no",93,"no","no","cellular",7,"jul",125,2,0
"25",26,"housemaid","married","tertiary","no",543,"no","no","cellular",30,"jan",169,3,0
"26",41,"management","married","tertiary","no",5883,"no","no","cellular",20,"nov",182,2,0
"27",55,"blue-collar","married","primary","no",627,"yes","no","unknown",5,"may",247,1,0
"28",67,"retired","married","unknown","no",696,"no","no","telephone",17,"aug",119,1,2
"29",56,"self-employed","married","secondary","no",784,"no","yes","cellular",30,"jul",149,2,0
"30",53,"admin.","married","secondary","no",105,"no","yes","cellular",21,"aug",74,2,0
"31",68,"retired","divorced","secondary","yes",4189,"no","no","telephone",14,"jul",897,2,0
"32",31,"technician","married","secondary","no",171,"no","no","cellular",27,"aug",81,3,0
"33",59,"management","married","secondary","no",42,"no","no","cellular",21,"nov",40,1,0
"34",32,"management","single","tertiary","yes",2536,"yes","no","cellular",26,"aug",958,6,0
"35",49,"technician","married","tertiary","yes",1235,"no","no","cellular",13,"aug",354,3,0
"36",42,"admin.","divorced","secondary","no",1811,"yes","no","unknown",14,"may",150,1,0
"37",78,"retired","divorced","primary","yes",229,"no","no","telephone",22,"oct",97,1,0
"38",32,"blue-collar","married","secondary","yes",2089,"yes","no","cellular",14,"nov",132,1,0
"39",33,"management","married","secondary","yes",3935,"yes","no","cellular",6,"may",765,1,2
"40",23,"services","single","tertiary","no",363,"yes","no","unknown",30,"may",16,18,0
"41",38,"management","single","tertiary","no",11971,"yes","no","unknown",17,"nov",609,2,3
"42",36,"management","single","tertiary","no",553,"no","no","cellular",11,"aug",106,2,0
"43",52,"blue-collar","married","secondary","no",1117,"yes","no","cellular",13,"may",365,1,0
"44",32,"technician","married","tertiary","no",396,"yes","no","cellular",13,"may",205,3,0
"45",32,"technician","single","tertiary","no",2204,"yes","no","cellular",21,"nov",11,4,0
"46",34,"management","single","tertiary","no",872,"yes","no","unknown",7,"may",105,2,0
"47",55,"blue-collar","married","primary","no",145,"no","no","telephone",2,"feb",59,3,2
"48",26,"blue-collar","married","primary","no",0,"yes","no","unknown",21,"may",425,1,0
"49",32,"entrepreneur","single","primary","no",-849,"yes","yes","cellular",4,"feb",204,1,0
"50",61,"admin.","married","unknown","yes",4629,"yes","no","cellular",27,"jan",181,1,1
"51",45,"blue-collar","divorced","primary","yes",844,"no","no","unknown",5,"jun",1018,3,0
"52",37,"technician","single","secondary","no",228,"yes","no","cellular",20,"aug",1740,2,0
"53",38,"technician","single","secondary","no",50,"no","no","cellular",29,"aug",98,2,0
"54",34,"technician","married","tertiary","yes",1539,"yes","no","cellular",15,"jun",441,1,1
"55",53,"blue-collar","married","secondary","no",2231,"yes","no","cellular",14,"jul",272,3,0
"56",48,"admin.","married","secondary","no",3064,"yes","no","telephone",15,"jul",159,2,0
"57",57,"management","married","secondary","no",82,"no","yes","telephone",4,"feb",140,1,0
"58",33,"self-employed","single","tertiary","no",2155,"no","no","cellular",17,"nov",295,1,0
"59",36,"retired","single","secondary","no",101,"yes","yes","unknown",26,"may",314,1,0
"60",54,"technician","divorced","secondary","no",784,"yes","yes","unknown",15,"may",579,1,0
"61",41,"blue-collar","married","primary","no",-516,"no","yes","telephone",8,"jul",554,3,0
"62",63,"retired","married","secondary","no",415,"yes","no","cellular",7,"oct",323,1,0
"63",48,"management","married","tertiary","no",5887,"no","no","cellular",13,"aug",227,2,0
"64",48,"services","married","secondary","no",1355,"no","no","cellular",4,"jul",134,2,0
"65",56,"admin.","married","secondary","no",16873,"no","no","cellular",7,"oct",223,1,0
"66",51,"blue-collar","divorced","secondary","no",203,"yes","no","cellular",8,"may",134,1,5
"67",31,"services","married","secondary","no",338,"yes","no","cellular",28,"jan",155,1,0
"68",29,"technician","married","secondary","no",444,"yes","no","cellular",21,"jul",130,4,0
"69",41,"management","married","secondary","no",0,"no","yes","cellular",7,"jul",630,3,0
"70",32,"technician","single","tertiary","no",360,"no","no","cellular",19,"nov",164,2,0
"71",37,"management","married","tertiary","yes",0,"no","no","cellular",16,"jul",268,2,3
"72",42,"entrepreneur","divorced","tertiary","no",2,"yes","no","unknown",5,"may",380,1,0
"73",31,"management","single","tertiary","no",6248,"yes","no","unknown",9,"may",154,2,0
"74",41,"services","married","tertiary","no",412,"yes","no","unknown",3,"jun",154,5,0
"75",56,"retired","married","secondary","no",344,"yes","no","unknown",15,"may",221,1,0
"76",54,"management","divorced","tertiary","no",3222,"no","no","cellular",14,"aug",67,2,0
"77",41,"blue-collar","divorced","secondary","no",174,"yes","no","cellular",14,"may",367,2,1
"78",40,"technician","single","secondary","no",591,"no","yes","cellular",14,"aug",87,6,0
"79",50,"blue-collar","divorced","primary","no",388,"no","no","cellular",5,"feb",701,1,0
"80",40,"unemployed","married","secondary","no",219,"yes","no","cellular",17,"nov",204,2,1
"81",27,"admin.","divorced","secondary","yes",451,"yes","no","cellular",16,"jul",652,1,0
"82",60,"retired","married","primary","no",5,"no","no","cellular",26,"aug",63,2,0
"83",28,"admin.","single","secondary","no",177,"yes","yes","cellular",6,"may",150,1,0
"84",52,"services","married","secondary","yes",657,"no","no","telephone",7,"jul",398,2,2
"85",37,"management","married","tertiary","yes",1315,"no","no","cellular",30,"jun",224,1,0
"86",51,"blue-collar","married","primary","no",1466,"yes","no","unknown",7,"may",406,2,0
"87",41,"technician","single","secondary","no",879,"no","yes","cellular",7,"jul",60,4,0
"88",35,"blue-collar","single","primary","no",293,"yes","no","unknown",30,"may",521,2,0
"89",38,"admin.","married","secondary","no",424,"yes","no","cellular",17,"apr",279,1,0
"90",34,"blue-collar","married","secondary","no",1831,"yes","no","unknown",20,"may",203,2,0
"91",39,"blue-collar","married","primary","no",111,"no","no","cellular",18,"nov",201,2,0
"92",34,"blue-collar","married","primary","no",455,"yes","no","unknown",20,"jun",372,3,0
"93",27,"services","single","secondary","yes",-195,"yes","no","cellular",18,"may",391,1,0
